Algorithm: PageRank
Damping: 0.850000
Vertex ranks:
0 0.011919
1 0.007403
2 0.010620
3 0.007027
4 0.008646
5 0.010701
6 0.010048
7 0.010458
8 0.011506
9 0.011673
10 0.011919
11 0.007403
12 0.010620
13 0.007027
14 0.008646
15 0.010701
16 0.010048
17 0.010458
18 0.011506
19 0.011673
20 0.011919
21 0.007403
22 0.010620
23 0.007027
24 0.008646
25 0.010701
26 0.010048
27 0.010458
28 0.011506
29 0.011673
30 0.011919
31 0.007403
32 0.010620
33 0.007027
34 0.008646
35 0.010701
36 0.010048
37 0.010458
38 0.011506
39 0.011673
40 0.011919
41 0.007403
42 0.010620
43 0.007027
44 0.008646
45 0.010701
46 0.010048
47 0.010458
48 0.011506
49 0.011673
50 0.011919
51 0.007403
52 0.010620
53 0.007027
54 0.008646
55 0.010701
56 0.010048
57 0.010458
58 0.011506
59 0.011673
60 0.011919
61 0.007403
62 0.010620
63 0.007027
64 0.008646
65 0.010701
66 0.010048
67 0.010458
68 0.011506
69 0.011673
70 0.011919
71 0.007403
72 0.010620
73 0.007027
74 0.008646
75 0.010701
76 0.010048
77 0.010458
78 0.011506
79 0.011673
80 0.011919
81 0.007403
82 0.010620
83 0.007027
84 0.008646
85 0.010701
86 0.010048
87 0.010458
88 0.011506
89 0.011673
90 0.011919
91 0.007403
92 0.010620
93 0.007027
94 0.008646
95 0.010701
96 0.010048
97 0.010458
98 0.011506
99 0.011673
Sum of ranks: 1.000000
Iterations: 41
Converged: true
Execution time: 0.033989 ms
