Algorithm: PageRank
Damping: 0.850000
Vertex ranks:
0 0.010258
1 0.007271
2 0.009021
3 0.009916
4 0.009191
5 0.009874
6 0.010041
7 0.009807
8 0.009245
9 0.009538
10 0.007012
11 0.011852
12 0.010568
13 0.009943
14 0.012981
15 0.010600
16 0.010003
17 0.009256
18 0.010297
19 0.010257
20 0.010075
21 0.010853
22 0.010357
23 0.010066
24 0.009871
25 0.009834
26 0.009978
27 0.010047
28 0.010124
29 0.010130
30 0.010312
31 0.009205
32 0.009741
33 0.009952
34 0.010525
35 0.010219
36 0.010104
37 0.010279
38 0.009891
39 0.009941
40 0.009954
41 0.010224
42 0.010114
43 0.010906
44 0.010111
45 0.010019
46 0.010159
47 0.009958
48 0.010066
49 0.010052
50 0.010258
51 0.007271
52 0.009021
53 0.009916
54 0.009191
55 0.009874
56 0.010041
57 0.009807
58 0.009245
59 0.009538
60 0.007012
61 0.011852
62 0.010568
63 0.009943
64 0.012981
65 0.010600
66 0.010003
67 0.009256
68 0.010297
69 0.010257
70 0.010075
71 0.010853
72 0.010357
73 0.010066
74 0.009871
75 0.009834
76 0.009978
77 0.010047
78 0.010124
79 0.010130
80 0.010312
81 0.009205
82 0.009741
83 0.009952
84 0.010525
85 0.010219
86 0.010104
87 0.010279
88 0.009891
89 0.009941
90 0.009954
91 0.010224
92 0.010114
93 0.010906
94 0.010111
95 0.010019
96 0.010159
97 0.009958
98 0.010066
99 0.010052
Sum of ranks: 1.000000
Iterations: 19
Converged: true
Execution time: 0.022002 ms
