Algorithm: Kruskal's MST
MST edges:
5882 20638 1
5885 36841 1
5892 28960 1
5905 18231 1
5906 22829 1
5907 32381 1
5936 26387 1
5938 43725 1
5987 8476 1
6008 19402 1
6024 9021 1
6031 27228 1
6046 18884 1
6055 22945 1
6061 15243 1
6136 38914 1
6147 33471 1
6150 44137 1
6164 33383 1
6180 30276 1
6221 45610 1
6231 23740 1
6246 17869 1
6261 17510 1
6288 14910 1
6294 38296 1
6319 30067 1
6351 13673 1
6358 13801 1
6376 6452 1
6382 18776 1
6395 29245 1
6409 32090 1
6424 29321 1
6435 19991 1
6437 18058 1
6458 43247 1
6487 36870 1
6505 13326 1
6529 7532 1
6536 8188 1
6538 35313 1
6540 24723 1
6551 17767 1
6570 23282 1
6603 18165 1
6677 30112 1
6682 19402 1
6700 22425 1
6705 35229 1
6746 11636 1
6749 11840 1
6763 21715 1
6763 22361 1
6769 16068 1
6791 42508 1
6803 16387 1
6809 24186 1
6822 15540 1
6831 40376 1
6851 32935 1
6857 41186 1
6872 39292 1
6887 18331 1
6940 29449 1
7041 8507 1
7051 35868 1
7057 25267 1
7065 22559 1
7081 19597 1
7095 41016 1
7108 15555 1
7114 43261 1
7136 26080 1
7166 25813 1
7218 24101 1
7244 27581 1
7289 44511 1
7289 45655 1
7321 35132 1
7366 12192 1
7372 13971 1
7395 33781 1
7413 40855 1
7428 27330 1
7457 34212 1
7465 48022 1
7470 46013 1
7472 8452 1
7473 24553 1
7508 28920 1
7520 49974 1
7531 43976 1
7551 22145 1
7594 19899 1
7610 7652 1
7638 14894 1
7641 39801 1
7652 20607 1
7680 37178 1
7690 11519 1
7695 46050 1
7724 8503 1
7737 33698 1
7746 39443 1
7767 44093 1
7792 10414 1
7794 24390 1
7798 49174 1
7823 35481 1
7872 13658 1
7881 37394 1
7906 9655 1
7910 13872 1
7923 32172 1
7923 35228 1
7927 33580 1
8006 49656 1
8016 38127 1
8026 21170 1
8040 13771 1
8052 43454 1
8054 18136 1
8131 14180 1
8155 43793 1
8161 14143 1
8168 25386 1
8188 36667 1
8193 19967 1
8295 9278 1
8318 26108 1
8321 27900 1
8332 10107 1
8333 28311 1
8339 44364 1
8339 47171 1
8344 24249 1
8353 28353 1
8361 24788 1
8363 44506 1
8380 20496 1
8400 10262 1
8407 33891 1
8410 47213 1
8416 26185 1
8416 47206 1
8466 26574 1
8469 45160 1
8485 26560 1
8489 27467 1
8532 22729 1
8546 35011 1
8555 34745 1
8581 30062 1
8630 22076 1
8657 26966 1
8705 43665 1
8741 17196 1
8742 13236 1
8773 33069 1
8790 20209 1
8807 29297 1
8852 21741 1
8876 27091 1
8898 49922 1
8903 17250 1
8914 46379 1
8948 13562 1
8955 26547 1
8978 36379 1
8992 34975 1
8993 17052 1
8995 43864 1
8997 18276 1
9011 12223 1
9022 13410 1
9070 19877 1
9095 43537 1
9149 37630 1
9237 11963 1
9252 40850 1
9292 19486 1
9316 40537 1
9334 34032 1
9352 27252 1
9353 9744 1
9362 22301 1
9373 44808 1
9426 13349 1
9428 45253 1
9436 24346 1
9504 48369 1
